"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","GPS Speed dup 1","Altitude","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","Luminosity","Max Voltage 1","Min Voltage 1","Reverse","D4 Gate Driver B","D3 Module C","D2 Module B","D1 Module A","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Analog Input","D2 Analog Input","D6 Analog Input","D3 Analog Input","D1 Analog Input","D5 Analog Input","D5 Digital Input","D2 Digital Input","D1 Digital Input","D6 Digital Input","D4 Digital Input","D3 Digital Input","D7 Digital Input","D8 Digital Input","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","D3 Id Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Inverter Enable","Direction Comman","Torque Command","Inverter Dischar","Torque Limit Com","SEG1OV","SEG1UV","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2UV","SEG2OT","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","Current","Voltage","RDTActive","Buzzer","D3 HV Input Curr","TSAL Active","BrakeSensor1","BrakeSensor2","APPS1","APPS2","Max Voltage 001","Min Voltage 001","AVG Voltage 001","Max Temperature","Min Temperature","Avg Temperature","Max Location 01","Min Location 01","Pack Voltage","Pack Current","Pack Current 01","Pack Inst Voltag","Average Temperat","High Temperature","Low Temperature","High Cell Voltag","Low Cell Voltage","Maximum Pack Vol","Minimum Cell Vol","Maximum Cell Vol"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","km/h","m","g","g","deg/s","%","mV","mV","#","#","#","#","#","°C","°C","°C","#","#","°C","°C","°C","#","#","#","#","#","#","#","#","#","#","#","#","#","#","deg","Hz","rpm","deg","A","A","A","A","mV","mV","mV","mV","A","A","#","#","mV","mV","mV","mV","#","#","#","#","#","#","#","Nm","Nm","A","A","Nm","Nm","rpm","mV","#","#","Nm","#","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","A","mV","#","#","#","#","bar","bar","%","%","mV","mV","mV","°C","°C","°C","#","#","#","#","A","mV","°C","°C","°C","mV","mV","mV","mV","mV"

"15.650","0.1134","14","0.0000","0.0000","21.3391","-5.3959","0.0000","324.2791","34.4530","0.1912","10000.0000","40.86313915","-77.83451084","24.6875","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.5955","1.0000","26.5621","23.8000","23.9000","23.6621","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2621","-1000.0000","-1000.0000","4.8700","2.0351","4.8849","4.8649","4.8649","4.8751","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3500","0.0000","0.0000","177.3000","0.0000","0.2500","0.5000","0.2500","0.6500","-0.0500","0.0000","306.6500","-0.3500","0.4500","-18.5420","0.0340","11.5624","5.0338","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1039","0.0000","0.0000","0.0000","0.1376","0.0000","306.8817","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7700","1.3000","3225.5999","2956.6260","3191.3757","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.700","0.0544","14","0.0000","0.0000","38.4282","127.4251","0.0000","324.2913","34.4030","0.1712","10000.0000","40.86313912","-77.83451075","24.6914","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6038","1.0000","26.5671","23.8000","23.9000","23.6671","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2671","-1000.0000","-1000.0000","4.8700","2.0302","4.8898","4.8698","4.8698","4.8702","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3010","0.0000","0.0000","177.3000","0.0000","0.2010","0.5000","0.4951","0.5029","0.1951","0.0000","306.5029","-0.3010","0.7931","-18.5420","0.0340","11.5634","5.0333","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3000","0.0000","0.0000","0.0000","0.0301","0.0000","306.5054","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7800","1.3100","3225.5999","2956.6335","3191.3833","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.750","0.1910","14","0.0000","0.0000","19.9822","67.0995","0.0000","324.2882","34.3060","0.1841","10000.0000","40.86313920","-77.83451072","24.6979","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6121","1.0000","26.5721","23.8000","23.9000","23.6721","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2721","-1000.0000","-1000.0000","4.8700","2.0347","4.8900","4.8700","4.8653","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3480","0.0000","0.1039","0.1157","0.2598","0.6441","0.3441","0.0000","306.5000","0.1804","-0.3529","-18.5420","0.0340","11.5644","5.0328","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3000","0.0000","0.0000","0.0000","-0.0387","0.0000","306.4774","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8000","1.3100","3225.5999","2956.6409","3191.3906","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.800","0.3401","14","0.0000","0.0000","-0.7319","-5.5545","0.0000","324.2841","34.2060","0.1991","10000.0000","40.86313929","-77.83451070","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6204","1.0000","26.5770","23.8000","23.9000","23.6770","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2770","-1000.0000","-1000.0000","4.8700","2.0396","4.8900","4.8700","4.8604","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3971","0.0000","0.0059","-0.2765","0.0147","0.7912","0.4912","0.0000","306.5000","0.6706","-1.5294","-18.5420","0.0340","11.5654","5.0323","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3000","0.0000","0.0000","0.0000","-0.0925","0.0000","306.5850","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7990","1.3100","3225.5999","2956.6484","3191.3982","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.850","0.2228","14","0.0000","0.0000","4.0483","-52.0360","0.0000","324.3019","34.1530","0.2000","10000.0000","40.86313927","-77.83451062","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6287","1.0000","26.5820","23.8000","23.9000","23.6820","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2820","-1000.0000","-1000.0000","4.8700","2.0400","4.8855","4.8655","4.8600","4.8745","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3539","0.0000","-0.2304","-0.5765","-0.1382","0.9843","0.3618","0.0000","306.7304","0.7000","-1.6000","-18.5420","0.0340","11.5664","5.0318","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3000","0.0000","0.0000","0.0000","-0.1000","0.0000","306.6925","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7770","1.3100","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.900","0.0886","14","0.0000","0.0000","10.4559","-96.8468","0.0000","324.3211","34.1030","0.2000","10000.0000","40.86313924","-77.83451054","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6370","1.0000","26.5870","23.8000","23.9000","23.6870","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2870","-1000.0000","-1000.0000","4.8700","2.0400","4.8806","4.8606","4.8600","4.8794","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3049","0.0000","-0.4755","-0.8706","-0.2853","1.1804","0.2147","0.0000","306.9755","0.7000","-1.6000","-18.5420","0.0340","11.5674","5.0313","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3000","0.0000","0.0000","0.0000","-0.1000","0.0000","306.8000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7700","1.2964","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.950","0.0962","14","0.0000","0.0000","3.5188","-12.3861","0.0000","324.3238","34.0530","0.2047","10000.0000","40.86313922","-77.83451043","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6455","1.0000","26.5920","23.8000","23.9000","23.6920","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2920","-1000.0000","-1000.0000","4.8700","2.0400","4.8800","4.8600","4.8600","4.8757","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3441","0.0000","-0.5000","-0.8559","-0.2559","0.8029","0.5088","0.0000","306.6912","0.2588","-0.6735","-18.5420","0.0340","11.5684","5.0308","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1196","0.0000","0.0000","0.0000","-0.1000","0.0000","306.4237","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7700","1.2764","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.000","0.1128","14","0.0000","0.0000","-4.2701","80.3261","0.0000","324.3253","34.0030","0.2097","10000.0000","40.86313921","-77.83451031","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.5970","23.8000","23.9000","23.6970","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.2970","-1000.0000","-1000.0000","4.8700","2.0400","4.8800","4.8600","4.8600","4.8708","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3931","0.0000","-0.5000","-0.8069","-0.2069","0.3618","0.8520","0.0000","306.3481","-0.2314","0.3559","-18.5420","0.0340","11.5694","5.0303","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0765","0.0000","0.0000","0.0000","-0.1151","0.0000","306.1151","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7836","1.2700","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.050","0.0942","14","0.0000","0.0000","1.7993","91.5943","0.0000","324.3439","33.9530","0.2006","10000.0000","40.86313924","-77.83451017","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.6000","23.8000","23.8980","23.7000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.3060","-1000.0000","-1000.0000","4.8741","2.0400","4.8841","4.8641","4.8600","4.8741","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","-0.6265","-0.9686","-0.4108","0.3000","0.7314","0.0000","306.2579","0.1216","-0.2588","-18.5420","0.0340","11.5696","5.0302","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0725","0.0000","0.0000","0.0000","-0.2226","0.0000","306.2226","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8036","1.2700","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.100","0.0733","14","0.0000","0.0000","8.7533","97.6640","0.0000","324.3635","33.9030","0.1906","10000.0000","40.86313926","-77.83451002","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.6000","23.8000","23.8930","23.7000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.3210","-1000.0000","-1000.0000","4.8790","2.0400","4.8890","4.8690","4.8600","4.8790","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","-0.7735","-1.1647","-0.6559","0.3000","0.5353","0.0000","306.2088","0.6118","-1.1412","-18.5420","0.0340","11.5686","5.0307","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2686","0.0000","0.0000","0.0000","-0.2548","0.0000","306.3452","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2598","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.150","0.1411","14","0.0000","0.0000","6.1979","101.3560","0.0000","324.3792","33.8060","0.1853","10000.0000","40.86313926","-77.83450992","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.6000","23.8000","23.8880","23.7000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.3359","-1000.0000","-1000.0000","4.8761","2.0400","4.8939","4.8700","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","-0.5588","-0.6373","-0.4186","0.6618","0.5000","0.0000","306.4412","0.2980","-0.7373","-18.5420","0.0340","11.5676","5.0312","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1353","0.0000","0.0000","0.0000","-0.0935","0.0000","306.5065","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2448","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.200","0.2146","14","0.0000","0.0000","3.0355","104.8963","0.0000","324.3948","33.7060","0.1803","10000.0000","40.86313926","-77.83450983","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.6000","23.8000","23.8830","23.7000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.3509","-1000.0000","-1000.0000","4.8712","2.0400","4.8988","4.8700","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","-0.2647","0.0490","-0.0755","1.1029","0.5000","0.0000","306.7353","-0.1922","-0.0510","-18.5420","0.0340","11.5666","5.0317","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0608","0.0000","0.0000","0.0000","-0.0903","0.0000","306.4871","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2512","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.250","0.2147","14","0.0000","0.0000","3.2755","79.8299","0.0000","324.4068","33.6530","0.1941","10000.0000","40.86313928","-77.83450973","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.6000","23.8000","23.8780","23.7000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.3659","-1000.0000","-1000.0000","4.8737","2.0400","4.8963","4.8700","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","-0.1235","0.2000","0.0000","1.2000","-0.1500","0.0000","306.9147","-0.1471","-0.2441","-18.5420","0.0340","11.5656","5.0322","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0608","0.0000","0.0000","0.0000","-0.3054","0.0000","306.2183","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2677","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.300","0.2102","14","0.0000","0.0000","3.7326","52.9375","0.0000","324.4187","33.6030","0.2091","10000.0000","40.86313931","-77.83450963","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.6000","23.8000","23.8731","23.7000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.3808","-1000.0000","-1000.0000","4.8786","2.0400","4.8914","4.8700","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","-0.0255","0.2000","0.0000","1.2000","-0.9833","0.0000","307.0618","0.0490","-0.6853","-18.5420","0.0340","11.5646","5.0327","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0118","0.0000","0.0000","0.0000","-0.3699","0.0000","306.2806","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2700","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.350","0.1491","14","0.0000","0.0000","14.1161","63.0117","0.0000","324.4282","33.5530","0.1959","10000.0000","40.86313930","-77.83450947","24.7031","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.6000","23.8000","23.8681","23.7000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.3958","-1000.0000","-1000.0000","4.8765","2.0400","4.8900","4.8665","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","-0.3627","0.1275","0.0000","1.0549","-0.6922","0.0000","306.9186","0.3902","-1.1265","-18.5420","0.0340","11.5636","5.0332","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1490","0.0000","0.0000","0.0000","-0.3161","0.0000","306.6032","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8100","1.2700","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.400","0.0844","14","0.0000","0.0000","25.1332","75.4454","0.0000","324.4375","33.5030","0.1809","10000.0000","40.86313929","-77.83450931","24.7044","11.3440","0.0000","0.0000","0.0000","0.0000","0.0000","115.0000","4225.5996","3956.6499","1.0000","26.6000","23.8000","23.8631","23.7000","-1000.0000","206.3000","204.9000","25.4000","0.0000","26.4108","-1000.0000","-1000.0000","4.8716","2.0400","4.8900","4.8616","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","-0.8529","0.0294","0.0000","0.8588","-0.0059","0.0000","306.6735","0.7824","-1.5676","-18.5420","0.0340","11.5626","5.0337","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3451","0.0000","0.0000","0.0000","-0.3000","0.0000","306.8129","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7928","1.2700","3225.5999","2956.6499","3191.3997","40.8100","28.0000","19.9600","37.0000","10.0000","305.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
